"2146426","slawkens","Sun, 18 Oct 2020 07:15:41 +0200","Update CHANGELOG",	 1 file changed, 3 insertions(+)	
"a28df1d","slawkens","Sat, 29 Feb 2020 20:50:59 +0100","Change table links color to white",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"0b6c636","tobi132","Mon, 2 Dec 2019 14:41:26 +0100","Release 2.2, Update CHANGELOG",	 2 files changed, 10 insertions(+), 2 deletions(-)	
"0673e7d","tobi132","Mon, 2 Dec 2019 14:24:59 +0100","* Only insert admin menu if it doesnt exist already",	 1 file changed, 3 insertions(+), 1 deletion(-)	
"6990da3","whiteblXK","Wed, 14 Aug 2019 04:26:06 +0200","one more fix to pagseguro",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"dcf018a","whiteblXK","Fri, 9 Aug 2019 15:00:44 +0200","Refactored code",	 27 files changed, 1139 insertions(+), 1340 deletions(-)	
"eeccd5f","slawkens","Tue, 23 Apr 2019 23:27:34 +0200","* Fix installation on some newest MySQL versions",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"0a72553","slawkens","Sat, 13 Apr 2019 01:23:27 +0200","Update CHANGELOG",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"906208d","slawkens","Sat, 13 Apr 2019 01:23:19 +0200","some useless formatting...",	 2 files changed, 7 insertions(+), 7 deletions(-)	
"d0a46b9","slawkens","Sat, 13 Apr 2019 01:10:47 +0200","* write more debug/error informations to paypal-error.log",	 2 files changed, 33 insertions(+), 15 deletions(-)	
"d283201","slawkens","Sat, 13 Apr 2019 00:26:20 +0200","* enable local certificate (fixes points being not delivered on same rare systems)",	 4 files changed, 3406 insertions(+), 3 deletions(-)	
"170316d","slawkens","Sat, 13 Apr 2019 00:01:06 +0200","* remove @version tag",	 14 files changed, 14 deletions(-)	
"0d7a4d4","slawkens","Fri, 12 Apr 2019 23:54:57 +0200","* try to fix line endings for bash script make-plugin.sh",	 1 file changed, 3 insertions(+), 1 deletion(-)	
"7e20323","slawkens","Tue, 26 Jun 2018 00:29:52 +0200","* updated date in CHANGELOG",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"39e8cd6","slawkens","Tue, 26 Jun 2018 00:27:16 +0200","* release 2.1",	 14 files changed, 14 insertions(+), 14 deletions(-)	
"82fe1cc","slawkens","Tue, 26 Jun 2018 00:26:53 +0200","* check for php CURL extension",	 4 files changed, 28 insertions(+), 14 deletions(-)	
"2fb6ce7","slawkens","Tue, 26 Jun 2018 00:10:12 +0200","* Update CHANGELOG",	 1 file changed, 2 insertions(+)	
"2605e37","slawkens","Sat, 5 May 2018 20:11:20 +0200","* updated CHANGELOG - fixed default value of some MySQL columns",	 1 file changed, 3 insertions(+)	
"ff5bb51","slawkens","Sat, 5 May 2018 20:10:47 +0200","* fixed default value of some MySQL columns",	 1 file changed, 13 insertions(+), 13 deletions(-)	
"65527e1","slawkens","Sat, 5 May 2018 20:05:10 +0200","That slash is useless",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"e2f7e46","slawkens1","Sat, 31 Mar 2018 18:58:11 +0200","* fixed Premium Account image (was wrong dir)",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"060fcfa","slawkens1","Thu, 22 Mar 2018 01:34:18 +0100","* fix for OTXServer",	 1 file changed, 14 insertions(+)	
"e5ec7a6","slawkens1","Mon, 19 Mar 2018 21:39:47 +0100","* updated CHANGELOG",	 1 file changed, 9 insertions(+), 1 deletion(-)	
"276bdd9","slawkens1","Mon, 19 Mar 2018 21:32:15 +0100","* out of beta!",	 4 files changed, 10 insertions(+), 5 deletions(-)	
"805a6a2","slawkens1","Mon, 19 Mar 2018 20:56:19 +0100","* fixed PayPal currency other than EUR",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"3cbb1d3","slawkens1","Mon, 19 Mar 2018 20:40:12 +0100","* paypal works 100% now (tested!)",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"4322cc8","slawkens1","Sun, 18 Mar 2018 23:20:23 +0100","* fix where container or item doesn't exist",	 1 file changed, 65 insertions(+), 50 deletions(-)	
"08b64b9","slawkens1","Sun, 18 Mar 2018 21:48:20 +0100","* nothing important",	 1 file changed, 1 insertion(+)	
"f58fc4c","slawkens1","Sun, 18 Mar 2018 20:54:55 +0100","* fixed PayPal IPN - points weren't delivered!",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"56d9d15","slawkens1","Sat, 17 Mar 2018 13:08:26 +0100","* fixed some errors in console (othire and others)",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"b063700","slawkens1","Sat, 17 Mar 2018 12:03:35 +0100","* added shebang line",	 1 file changed, 1 insertion(+)	
"bc61f70","slawkens1","Sat, 27 Jan 2018 21:36:30 +0100","* v2.0-beta of the gesior-shop-system",	 140 files changed, 12971 insertions(+), 1380 deletions(-)	
"212b25f","slawkens1","Sun, 17 Dec 2017 12:07:29 +0100","* testing github branches",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"dcb8676","slawkens1","Sun, 17 Dec 2017 11:59:10 +0100","* uploading version 1.1 of gesior-shop-system",	 24 files changed, 1749 insertions(+), 16 deletions(-)	
"6251cf8","slawkens1","Sun, 17 Dec 2017 11:57:39 +0100",":lollipop: Added .gitattributes",	 1 file changed, 17 insertions(+)	
